distance,risk,value
1.42452342,heat,0
1.425078939,heat,0
1.425814398,heat,0
1.426209459,heat,0
1.426528771,heat,0
1.427027394,heat,0
1.427371407,heat,0
1.427640927,heat,0
1.428011494,heat,0
1.428328652,heat,0
1.428881141,heat,0
1.429551882,heat,0
1.42986904,heat,0
1.430541434,heat,0
1.431047497,heat,0
1.431527601,heat,0
1.431810797,heat,0
1.432512952,heat,0
1.432919273,heat,0
1.433538539,heat,0
1.43385511,heat,0
1.433992591,heat,0
1.434399143,heat,0
1.435033428,heat,0
1.436494495,heat,0
1.437882669,heat,0
1.438601294,heat,0
1.438865871,heat,0
1.43944512,heat,0
1.44002511,heat,0
1.440611731,heat,0
1.441225589,heat,0
1.441568286,heat,0
1.442311641,heat,0
1.442579149,heat,0
1.442782254,heat,0
1.443229557,heat,0
1.444275706,heat,0
1.445228212,heat,0
1.446653254,heat,0
1.447019634,heat,0
1.447189095,heat,0
1.447350814,heat,0
1.447990383,heat,0
1.453109852,heat,0
1.457549486,heat,0
1.457887854,heat,0
1.45821929,heat,0
1.458622022,heat,0
1.459313632,heat,0
